TreeID,Date,D60,DBH1,DBH2,DBH3,Point1,Point2,Point3,Point4,Point5,Pix.mm,ASPECT,NOTES, Coppice
QGRA523,5/14/2011,19.5,18.9,,,16.78,12.38,17.62,4.09,16.21,11.8,330,,0
QGRA524,5/15/2011,11.4,10.3,,,5.36,6.73,7.08,2.57,5.11,11.6,302,,0
QGRA525,5/15/2011,8.1,7.2,4.4,,1.27,1.26,4.14,4.4,3.47,11.8,230,,1
QGRA526,5/15/2011,34.7,32.5,,,15.77,10.79,9.52,10.92,4.84,11.8,16,,0
QGRA527,5/15/2011,17,15.7,,,8.36,6,2.95,2.54,4.52,11.8,160,,0
QGRA528,5/16/2011,29.2,28.6,,,23.67,20.11,3.39,24.84,1.74,11.6,230,,0
QGRA529,5/16/2011,20.3,18.6,,,6.61,5.13,12.48,6.35,10.09,11.6,188,,0
QGRA530,5/16/2011,48.4,47.5,,,20.23,20.55,21.92,9.56,19.25,11.8,15,,0
QPUN504,,13.4,9.8,8.5,,5.12,7.64,10.99,7.58,2.25,11.6,180,,1
QPUN505,,8.6,8.2,,,3.62,4.58,3.81,3.28,2.78,11.8,250,lots of sprouts,0
QRUG501,,70,66.1,,,16.88,20.34,23.89,24.25,17.68,11.8,,,0
QRUG502,,38.1,35.3,,,26.71,38.4,32.34,5.55,25.33,11.6,,,0
QRUG503,,25.2,20.9,,,23.6,11.27,25.73,23.51,23.5,11.8,,,0
QRUG504,,9.1,8.2,,,1.6,9.91,8.87,9.61,4.99,11.8,,,0
QRUG505,,16.3,15.5,,,9.36,9.43,4.23,10.11,12.23,11.8,,,0
